Time,X,Y,Vx,Vy,Ax,Ay
0,1.15,-0.03,0,0,0,0
0.02,1.15,-0.03,0,0,0,0
0.04,1.15,-0.03,0,0,0,0
0.06,1.15,-0.03,0,0,0,0
0.08,1.15,-0.03,0,0,0,0
0.09999999,1.15,-0.03,0,0,0,0
0.12,1.15,-0.03,0,0,0,0
0.14,1.15,-0.03,0,0,0,0
0.16,1.15,-0.03,0,0,0,0
0.18,1.15,-0.03,0,0,0,0
0.2,1.15,-0.03,0,0,0,0
0.22,1.15,-0.03,0,0,0,0
0.24,1.15,-0.03,0,0,0,0
0.26,1.15,-0.03,0,0,0,0
0.28,1.15,-0.03,0,0,0,0
0.3,1.15,-0.03,0,0,0,0
0.32,1.15,-0.03,0,0,0,0
0.34,1.15,-0.03,0,0,0,0
0.36,1.15,-0.03,0,0,0,0
0.38,1.15,-0.03,0,0,0,0
0.4,1.15,-0.03,0,0,0,0
0.42,1.15,-0.03,0,0,0,0
0.44,1.15,-0.03,0,0,0,0
0.46,1.15,-0.03,0,0,0,0
0.48,1.15,-0.03,0,0,0,0
0.5,1.15,-0.03,0,0,0,0
0.52,1.15,-0.03,0,0,0,0
0.54,1.15,-0.03,0,0,0,0
0.56,1.15,-0.03,0,0,0,0
0.58,1.15,-0.03,0,0,0,0
0.6,1.15,-0.03,0,0,0,0
0.62,1.15,-0.03,0,0,0,0
0.64,1.15,-0.03,0,0,0,0
0.66,1.15,-0.03,0,0,0,0
0.68,1.15,-0.03,0,0,0,0
0.7,1.15,-0.03,0,0,0,0
0.72,1.15,-0.03,0,0,0,0
0.74,1.15,-0.03,0,0,0,0
0.76,1.15,-0.03,0,0,0,0
0.78,1.15,-0.03,0,0,0,0
0.8,1.15,-0.03,0,0,0,0
0.82,1.15,-0.03,3.887771,-0.9408693,194.3886,-47.04347
0.84,1.227755,-0.05274139,3.857876,-1.056784,-1.494753,-5.795741
0.86,1.304913,-0.07780107,3.982001,-0.379039,6.206226,33.88726
0.88,1.384553,-0.08930585,3.999472,-0.06498431,0.8735657,15.70273
0.9,1.464542,-0.09452953,3.999774,0.04253627,0.01510382,5.376029
0.92,1.544538,-0.09760281,3.991659,-0.2581875,-0.4057646,-15.03619
0.94,1.624371,-0.1066906,3.998482,-0.1102007,0.3411531,7.399341
0.96,1.704341,-0.1128186,3.999732,-0.04635746,0.06248951,3.192161
0.98,1.784335,-0.1176697,3.999876,-0.03155106,0.007200241,0.7403201
1,1.864333,-0.1222247,3.998022,-0.1257634,-0.09266138,-4.710617
1.02,1.944293,-0.128664,3.998868,-0.09514424,0.04229546,1.530958
1.04,2.024271,-0.1344909,3.999378,-0.0705178,0.02551079,1.231322
1.06,2.104258,-0.1398253,3.999627,-0.05464083,0.01240969,0.7938486
1.08,2.184251,-0.1448421,3.999758,-0.04397416,0.006580353,0.5333332
1.1,2.264246,-0.1496456,3.999844,-0.03532271,0.004291534,0.4325725
1.12,2.344243,-0.154276,3.999855,-0.03404757,0.0005602837,0.06375741
1.14,2.42424,-0.158881,3.999886,-0.03021459,0.001525879,0.1916489
1.16,2.504238,-0.1634093,3.999891,-0.02948126,0.0002741814,0.03666654
1.18,2.584235,-0.1679229,3.999833,0.0365824,-0.002920628,3.303183
1.2,2.664232,-0.1711152,3.996969,0.1556923,-0.1432061,5.955495
1.22,2.744171,-0.1719254,3.987912,0.3107399,-0.4528522,7.752379
1.24,2.82393,-0.1696346,3.954118,0.6041153,-1.689708,14.66877
1.26,2.903012,-0.1614763,3.929706,0.7466012,-1.220596,7.124296
1.28,2.981606,-0.1504683,3.902317,0.8785901,-1.369417,6.599444
1.3,3.059652,-0.1368205,3.886649,0.9454954,-0.7834196,3.345263
1.32,3.137385,-0.1218346,3.883419,0.9586769,-0.1615167,0.6590784
1.34,3.215054,-0.106585,3.888566,0.93758,0.2573609,-1.054847
1.36,3.292825,-0.09175742,3.898422,0.8957168,0.4927874,-2.093157
1.38,3.370794,-0.07776709,3.911425,0.8371127,0.6501555,-2.930209
